bojí	boja	boj	bál	bojac	bojaci			bátie
mrhá	mrhajú	mrhaj	mrhal	mrhajúc	mrhajúci		mrhaný	mrhanie
mrie	mrú	mri	mrel	mrúc	mrúci			mretie/mrenie
mrká	mrkajú	mrkaj	mrkal	mrkajúc	mrkajúci			mrkanie
mrví	mrvia	mrv	mrvil	mrviac	mrviaci		mrvený	mrvenie
mstí	mstia	msti	mstil	mstiac	mstiaci		mstený	mstenie
mučí	mučia	muč	mučal	mučiac	mučiaci			mučanie
mučí	mučia	muč	mučil	mučiac	mučiaci		mučený	mučenie
múka	múkajú	múkaj	múkal	múkajúc	múkajúci			múkanie
múti	mútia	múť	mútil	mútiac	mútiaci		mútený	mútenie
myká	mykajú	mykaj	mykal	mykajúc	mykajúci		mykaný	mykanie
mýli	mýlia	mýľ	mýlil	mýliac	mýliaci		mýlený	mýlenie
nabije	nabijú	nabi	nabil	nabijúc		nabivší	nabitý	nabitie
načne	načnú	načni	načal	načnúc		načavší	načatý	načatie
nadá	nadajú	nadaj	nadal	nadajúc		nadavší		nadanie
naduje	nadujú	naduj	nadul	nadujúc		naduvší	nadutý	nadutie
najme	najmú	najmi	najal	najmúc		najavší	najatý	najatie
nájde	nájdu	nájdi	našiel	nájduc			nájdený	nájdenie
nakuje	nakujú	nakuj	nakul	nakujúc		nakuvší	nakutý	nakutie
napne	napnú	napni	napäl	napnúc		napävší	napätý	napätie
napije	napijú	napi	napil	napijúc		napivší	napitý	napitie
nasaje	nasajú	nasaj	nasal	nasajúc		nasavší	nasatý	nasatie
našije	našijú	naši	našil	našijúc		našivší	našitý	našitie
natne	natnú	natni	naťal	natnúc		naťavší	naťatý	naťatie
navije	navijú	navi	navil	navijúc		navivší	navitý	navitie
nažne	nažnú	nažni	nažal	nažnúc		nažavší	nažatý	nažatie
nažije	nažijú	naži	nažil	nažijúc		naživší	nažitý	nažitie
ničí	ničia	nič	ničil	ničiac	ničiaci		ničený	ničenie
nesie	nesú	nes	niesol	nesúc	nesúci		nesený	nesenie
níži	nížia	níž	nížil	nížiac	nížiaci		nížený	níženie
norí	noria	nor	noril	noriac	noriaci		norený	norenie
nosí	nosia	nos	nosil	nosiac	nosiaci		nosený	nosenie
nôti	nôtia	nôť	nôtil	nôtiac	nôtiaci		nôtený	nôtenie
nudí	nudia	nuď	nudil	nudiac	nudiaci		nudený	nudenie
núka	núkajú	núkaj	núkal	núkajúc	núkajúci		núkaný	núkanie
núra	núrajú	núraj	núral	núrajúc	núrajúci			núranie
ňúra	ňúrajú	ňúraj	ňúral	ňúrajúc	ňúrajúci			ňúranie
núti	nútia	núť	nútil	nútiac	nútiaci		nútený	nútenie
obíde	obídu	obíď	obišiel	obíduc			obídený	obídenie
objíme	objímu	objím	objal	objímuc		objavší	objatý	objatie
obmyje	obmyjú	obmy	obmyl	obmyjúc		obmyvší	obmytý	obmytie
oberie	oberú	ober	obral	oberúc		obravší	obraný/obratý	obranie/obratie
obšije	obšijú	obši	obšil	obšijúc		obšivší	obšitý	obšitie
obtne	obtnú	obtni	obťal	obtnúc		obťavší	obťatý	obťatie
obtne	obtnú	obtni	obťal	obtnúc		obťavší	obťatý	obťatie
obvije	obvijú	obvi	obvil	obvijúc		obvivší	obvitý	obvitie
obžne	obžnú	obžni	obžal	obžnúc		obžavší	obžatý	obžatie
obžije	obžijú	obži	obžil	obžijúc		obživší	obžitý	obžitie
obžuje	obžujú	obžuj	obžul	obžujúc		obžuvší	obžutý	obžutie
oclí	oclia	ocli	oclil	ocliac		oclivší	oclený	oclenie
odbije	odbijú	odbi	odbil	odbijúc		odbivší	odbitý	odbitie
odbyje	odbyjú	odby	odbyl	odbyjúc		odbyvší	odbytý	odbytie
oddá	oddajú	oddaj	oddal	oddajúc		oddavší	oddaný	oddanie
odduje	oddujú	odduj	oddul	oddujúc		odduvší	oddutý	oddutie
odeje	odejú	odej	odial	odejúc		odiavší	odiaty	odiatie
odeje	odejú	odej	odel	odejúc		odevší	odený/odetý	odenie/odetie
odíde	odídu	odíď	odišiel	odíduc			odídený	odídenie
odníme	odnímu	odním	odňal	odnímuc		odňavší	odňatý	odňatie
odpije	odpijú	odpi	odpil	odpijúc		odpivší	odpitý	odpitie
oderie	oderú	oder	odral	oderúc		odravší	odraný/odratý	odranie/odratie
odsaje	odsajú	odsaj	odsal	odsajúc		odsavší	odsatý	odsatie
odšije	odšijú	odši	odšil	odšijúc		odšivší	odšitý	odšitie
odtne	odtnú	odtni	odťal	odtnúc		odťavší	odťatý	odťatie
odvije	odvijú	odvi	odvil	odvijúc		odvivší	odvitý	odvitie
odžne	odžnú	odžni	odžal	odžnúc		odžavší	odžatý	odžatie
odžije	odžijú	odži	odžil	odžijúc		odživší	odžitý	odžitie
ohká	ohkajú	ohkaj	ohkal	ohkajúc	ohkajúci			ohkanie
oženie	oženú	ožeň	ohnal	oženúc		ohnavší	ohnaný	ohnanie
ohne	ohnú	ohni	ohol	ohnúc		ohnuvší	ohnutý	ohnutie
ohrá	ohrajú	ohraj	ohral	ohrajúc		ohravší	ohratý/ohraný	ohratie/ohranie
ondí	ondia	ondi	ondil	ondiac	ondiaci		ondený	ondenie
opľuje	opľujú	opľuj	opľul	opľujúc		opľuvší	opľutý	opľutie
operie	operú	oper	opral	operúc		opravší	opraný/opratý	opranie/opratie
oseje	osejú	osej	osial	osejúc		osiavší	osiaty	osiatie
ostane	ostanú	ostaň	ostal	ostanúc		ostavší		ostanie
otlčie	otlčú	otlč	otĺkol	otlčúc			otlčený	otlčenie
oveje	ovejú	ovej	ovial	ovejúc		oviavší	oviaty	oviatie
ozve	ozvú	ozvi	ozval	ozvúc		ozvavší		ozvanie
ožerie	ožerú	ožer	ožral	ožerúc		ožravší	ožraný/ožratý	ožranie/ožratie
páči	páčia	páč	páčil	páčiac	páčiaci		páčený	páčenie
padá	padajú	padaj	padal	padajúc	padajúci		padaný	padanie
páli	pália	páľ	pálil	páliac	páliaci		pálený	pálenie
papá	papajú	papaj	papal	papajúc	papajúci		papaný	papanie
pára	párajú	páraj	páral	párajúc	párajúci		páraný	páranie
parí	paria	par	paril	pariac	pariaci		parený	parenie
pári	pária	pár 	páril	páriac	páriaci		párený	párenie
pása	pásajú	pásaj	pásal	pásajúc	pásajúci			pásanie
pätí	pätia	päť	pätil	pätiac	pätiaci		pätený	pätenie
pení	penia	peň	penil	peniac	peniaci		penený	penenie
perí	peria	per	peril	periac	periaci			perenie
pchá	pchajú	pchaj	pchal	pchajúc	pchajúci		pchaný	pchanie
pečie	pečú	peč	piekol	pečúc	pečúci		pečený	pečenie
pigá	pigajú	pigaj	pigal	pigajúc	pigajúci		piganý	piganie
píja	píjajú	píjaj	píjal	píjajúc	píjajúci			píjanie
píli	pília	píľ	pílil	píliac	píliaci		pílený	pílenie
pípa	pípajú	pípaj	pípal	pípajúc	pípajúci			pípanie
píše	píšu	píš	písal	píšuc	píšuci		písaný	písanie
pišá	pišajú	pišaj	pišal	pišajúc	pišajúci			pišanie
pleje	plejú	plej	plel	plejúc	plejúci		pletý	plenie/pletie
plní	plnia	plň	plnil	plniac	plniaci		plnený	plnenie
pltí	pltia	plť	pltil	pltiac	pltiaci		pltený	pltenie
pnie	pnejú	pnej	pnel	pnejúc	pnejúci			pnenie
pobi	pobijú	pobi	pobil	pobijúc		pobivší	pobitý	pobitie
počne	počnú	počni	počal	počnúc		počavší	počatý	počatie
počuje	počujú	počuj	počul	počujúc	počujúci	počuvší	počutý	počutie
podá	podajú	podaj	podal	podajúc		podavší	podaný	podanie
pojme	pojmú	pojmi	pojal	pojmúc		pojavší	pojatý	pojatie
pokuje	pokujú	pokuj	pokul	pokujúc		pokuvší	pokutý	pokutie
polí	polia	poľ	polil	poliac	poliaci		polený	polenie
pojme	pojmú	pojmi	poňal	pojmúc		poňavší	poňatý	poňatie
popije	popijú	popi	popil	popijúc		popivší	popitý	popitie
poruje	porujú	poruj	porul	porujúc		poruvší	porutý	porutie
pošije	pošijú	poši	pošil	pošijúc		pošivší	pošitý	pošitie
potí	potia	poť	potil	potiac	potiaci		potený	potenie
povije	povijú	povi	povil	povijúc		povivší	povitý	povitie
požne	požnú	požni	požal	požnúc		požavší	požatý	požatie
požije	požijú	poži	požil	požijúc		poživší	požitý	požitie
požuje	požujú	požuj	požul	požujúc		požuvší	požutý	požutie
pôjde	pôjdu	pôjdi	pošiel	pôjduc				pôjdenie
praje	prajú	praj	prial	prajúc	prajúci		priaty	prianie
prie	prú	pri	prel	prúc	prúci			prenie
príde	prídu	príď	prišiel	príduc				
prší	pršia	prš	pršal	pršiac	pršiaci			pršanie
pučí	pučia	puč	pučal	pučiac	pučiaci			pučanie
pučí	pučia	puč	pučil	pučiac	pučiaci		pučený	pučenie
pudí	pudia	puď	pudil	pudiac	pudiaci		pudený	pudenie
puká	pukajú	pukaj	pukal	pukajúc	pukajúci		pukaný	pukanie
púta	pútajú	pútaj	pútal	pútajúc	pútajúci		pútaný	pútanie
pyká	pykajú	pykaj	pykal	pykajúc	pykajúci			pykanie
pýri	pýria	pýr	pýril	pýriac	pýriaci			pýrenie
pýši	pýšia	pýš	pýšil	pýšiac	pýšiaci			pýšenie
pýta	pýtajú	pýtaj	pýtal	pýtajúc	pýtajúci		pýtaný	pýtanie
ráči	ráčia	ráč	ráčil	ráčiac	ráčiaci		ráčený	ráčenie
radí	radia	raď	radil	radiac	radiaci		radený	radenie
rafe/rafá	rafú/rafajú	raf/rafaj	rafal	rafajúc	rafajúci		rafaný	rafanie
ráňa	ráňajú	ráňaj	ráňal	ráňajúc	ráňajúci		ráňaný	ráňanie
raní	rania	raň	ranil	raniac		ranivší	ranený	ranenie
ráta/ráce	rátajú/rácu	rátaj/rác	rátal	rátajúc	rátajúci		rátaný	rátanie
razí	razia	raz	razil	raziac	raziaci		razený	razenie
reve	revú	rev	reval	revúc	revúci		revaný	revanie
reže	režú	rež	rezal	režúc	režúci		rezaný	rezanie
rečie	rečú	rec	riekol	rečúc			rečený	rečenie
rihá	rihajú	rihaj	rihal	rihajúc	rihajúci			rihanie
rinie	rinú	riň	rinul	rinúc	rinúci			rinutie
robí	robia	rob	robil	robiac	robiaci		robený	robenie
rodí	rodia	roď	rodil	rodiac	rodiaci		rodený	rodenie
rojí	roja	roj	rojil	rojac	rojaci			rojenie
roní	ronia	roň	ronil	roniac	roniaci		ronený	ronenie
rosí	rosia	ros	rosil	rosiac	rosiaci		rosený	rosenie
rúbe	rúbu	rúb/rúbaj	rúbal	rúbuc/rúbajúc	rúbajúci		rúbaný	rúbanie
rúca	rúcajú	rúcaj	rúcal	rúcajúc	rúcajúci		rúcaný	rúcanie
ručí	ručia	ruč	ručal	ručiac	ručiaci			ručanie
ručí	ručia	ruč	ručil	ručiac	ručiaci			ručenie
rúha	rúhajú	rúhaj	rúhal	rúhajúc	rúhajúci			rúhanie
rušia	rušajú	rušaj	rušal	rušajúc	rušajúci			rušanie
ruší	rušia	ruš	rušil	rušiac	rušiaci		rušený	rušenie
rúti	rútia	rúť	rútil	rútiac	rútiaci			rútenie
ruve	ruvú	ruvaj	ruval	ruvajúc	ruvajúci			ruvanie
ryčí	ryčia	ryč	ryčal	ryčiac	ryčiaci			ryčanie
rýpe	rýpu	rýp	rýpal	rýpuc/rýpajúc	rýpuci/rýpajúci		rýpaný	rýpanie
sáče	sáču/sácajú	sáč/sácaj	sácal	sácajúc	sácajúci		sácaný	sácanie
sadá	sadajú	sadaj	sadal	sadajúc	sadajúci			sadanie
sadí	sadia	saď	sadil	sadiac	sadiaci		sadený	sadenie
sála	sálajú	sálaj	sálal	sálajúc	sálajúci		sálaný	sálanie
seká	sekajú	sekaj	sekal	sekajúc	sekajúci		sekaný	sekanie
síka	síkajú	síkaj	síkal	síkajúc	síkajúci			síkanie
silí	silia	siľ	silil	siliac	siliaci		silený	silenie
síri	síria	sír	síril	síriac	síriaci		sírený	sírenie
skryje	skryjú	skry	skryl	skryjúc		skryvší	skrytý	skrytie
slní	slnia	slň	slnil	slniac	slniaci			slnenie
slzí	slzia	slz	slzil	slziac	slziaci			slzenie
smeje	smejú	smej	smial	smejúc	smejúci			smiatie
smie	smú		smel	smúc	smúci			smenie
socia	socajú	socaj	socal	socajúc	socajúci		socaný	socanie
solí	solia	soľ	solil	soliac	soliaci		solený	solenie
sotí	sotia	soť	sotil	sotiac		sotivší	sotený	sotenie
spasie	spasú	spas	spásol	spasúc			spasený	spasenie
speje	spejú	spej	spel	spejúc	spejúci			spenie
sperie	sperú	sper	spral	sperúc		spravší	spraný/spratý	spranie/spratie
srdí	srdia	srď	srdil	srdiac	srdiaci		srdený	srdenie
srká	srkajú	srkaj	srkal	srkajúc	srkajúci		srkaný	srkanie
sŕka	sŕkajú	sŕkaj	sŕkal	sŕkajúc	sŕkajúci		sŕkaný	sŕkanie
srší	sršia	srš	sršal	sršiac	sršiaci			sršanie
stelie	stelú	steľ	stlal	stelúc	stelúci		stlaný/stlatý	stlanie
stlčie	stlčú	stlč	stĺkol	stlčúc			stlčený	stlčenie
stmí			stmilo				stmené	stmenie
súdi	súdia	súď	súdil	súdiac	súdiaci		súdený	súdenie
súka	súkajú	súkaj	súkal	súkajúc	súkajúci		súkaný	súkanie
sunie	sunú	suň	sunul	sunúc	sunúci		sunutý	sunutie
súri	súria	súr	súril	súriac	súriaci		súrený	súrenie
suší	sušia	suš	sušil	sušiac	sušiaci		sušený	sušenie
súži	súžia	súž	súžil	súžiac	súžiaci		súžený	súženie
syčí	syčia	syč	syčal	syčiac	syčiaci			syčanie
syká	sykajú	sykaj	sykal	sykajúc	sykajúci			sykanie
sype	sypú	syp	sypal	sypúc/sypajúc	sypúci/sypajúci		sypaný	sypanie
sýti	sýtia	sýť	sýtil	sýtiac	sýtiaci		sýtený	sýtenie
šatí	šatia	šať	šatil	šatiac	šatiaci		šatený	šatenie
šerí	šeria	šer	šeril	šeriac	šeriaci			šerenie
šibe	šibú	šib/šibaj	šibal	šibúc/šibajúc	šibúci/šibajúci		šibaný	šibanie
šíja	šíjajú	šíjaj	šíjal	šíjajúc	šíjajúci			šíjanie
šinie	šinú	šiň	šinul	šinúc	šinúci			šinutie
šípi	šípia	šíp	šípil	šípiac	šípiaci		šípený	šípenie
šíri	šíria	šír	šíril	šíriac	šíriaci		šírený	šírenie
špie	špejú	špej	špel	špejúc	špejúci		špený	špenie
štve	štvú	štvi	štval	štvúc	štvúci		štvaný	štvanie
šudí	šudia	šuď	šudil	šudiac	šudiaci		šudený	šudenie
šúľa	šúľajú	šúľaj	šúľal	šúľajúc	šúľajúci		šúľaný	šúľanie
šúpe	šúpu	šúp	šúpal	šúpuc/šúpajúc	šúpuci/šúpajúci		šúpaný	šúpanie
ťahá	ťahajú	ťahaj	ťahal	ťahajúc	ťahajúci		ťahaný	ťahanie
tají	taja	taj	tajil	tajac	tajaci		tajený	tajenie
táka	tákajú	tákaj	tákal	tákajúc	tákajúci			tákanie
tanie	tanú	taň	tanul	tanúc	tanúci			tanutie
tápe/tápa	tápu/tápajú	táp/tápaj	tápal	tápuc/tápajúc	tápuci/tápajúci			tápanie
tára	tárajú	táraj	táral	tárajúc	tárajúci		táraný	táranie
tasá	tasajú	tasaj	tasal	tasajúc	tasajúci		tasaný	tasanie
tasí	tasia	tas 	tasil	tasiac	tasiaci		tasený	tasenie
taví	tavia	tav	tavil	taviac	taviaci		tavený	tavenie
ťaží	ťažia	ťaž	ťažil	ťažiac	ťažiaci		ťažený	ťaženie
telí	telia	teľ	telil	teliac	teliaci			telenie
tepe	tepú	tep/tepaj	tepal	tepúc/tepajúc	tepúci/tepajúci		tepaný	tepanie
teše/tesá	tešú/tesajú	teš/tesaj	tesal	tesajúc	tešúci/tesajúci		tesaný	tesanie
teší	tešia	teš	tešil	tešiac	tešiaci		tešený	tešenie
tečie	tečú	teč	tiekol	tečúc	tečúci			tečenie
tiká	tikajú	tikaj	tikal	tikajúc	tikajúci			tikanie
tíši	tíšia	tíš	tíšil	tíšiac	tíšiaci		tíšený	tíšenie
tlie	tlejú	tlej	tlel	tlejúc	tlejúci			tlenie/tletie
tlmí	tlmia	tlm	tlmil	tlmiac	tlmiaci		tlmený	tlmenie
tmie	tmejú	tmej	tmel	tmejúc	tmejúci			tmenie
točí	točia	toč	točil	točiac	točiaci		točený	točenie
toká	tokajú	tokaj	tokal	tokajúc	tokajúci			tokanie
tonie	tonú	toň	tonul	tonúc	tonúci			tonutie
topí	topia	top	topil	topiac	topiaci		topený	topenie
tôni	tônia	tôň	tônil	tôniac	tôniaci		tônený	tônenie
trčí	trčia	trč	trčal	trčiac	trčiaci			trčanie
trhá	trhajú	trhaj	trhal	trhajúc	trhajúci		trhaný	trhanie
trie	trú	tri	trel	trúc	trúci		trený	trenie
trká	trkajú	trkaj	trkal	trkajúc	trkajúci		trkaný	trkanie
trme	trmú	trm/trmaj	trmal	trmajúc/trmúc	trmajúci/trmúci		trmaný	trmanie
trnie	trnú	trň	trnul	trnúc	trnúci			trnutie
trvá	trvajú	trvaj	trval	trvajúc	trvajúci			trvanie
tŕži	tŕžia	tŕž	tŕžil	tŕžiac	tŕžiaci		tŕžený	tŕženie
ťuká	ťukajú	ťukaj	ťukal	ťukajúc	ťukajúci			ťukanie
túla	túlajú	túlaj	túlal	túlajúc	túlajúci			túlanie
túli	túlia	túľ	túlil	túliac	túliaci		túlený	túlenie
tupí	tupia	tup	tupil	tupiac	tupiaci		tupený	tupenie
tuší	tušia	tuš	tušil	tušiac	tušiaci		tušený	tušenie
tuží	tužia	tuž	tužil	tužiac	tužiaci		tužený	tuženie
túži	túžia	túž	túžil	túžiac	túžiaci			túženie
týči	týčia	týč	týčil	týčiac	týčiaci			týčenie
tyká	tykajú	tykaj	tykal	tykajúc	tykajúci			tykanie
týka	týkajú	týkaj	týkal	týkajúc	týkajúci			týkanie
týra	týrajú	týraj	týral	týrajúc	týrajúci		týraný	týranie
uberie	uberú	uber	ubral	uberúc		ubravší	ubraný/ubratý	ubranie/ubratie
uctí	uctia	ucti	uctil	uctiac	uctiaci	uctivší	uctený	uctenie
udeje	udejú	udej	udial	udejúc		udiavší		udiatie
uhne	uhnú	uhni	uhol	uhnúc		uhnuvší	uhnutý	uhnutie
ukryje	ukryjú	ukry	ukryl	ukryjúc		ukryvší	ukrytý	ukrytie
uleje	ulejú	ulej	ulial	ulejúc		uliavší	uliaty	uliatie
úpie	úpejú	úpej	úpel	úpejúc	úpejúci			úpenie
upne	upnú	upni	upol	upnúc		upnuvší	upnutý	upnutie
určí	určia	urč/urči	určil	určiac		určivší	určený	určenie
usne	usnú	usni	usnul	usnúc		usnuvší		usnutie
uspí	uspia	uspi	uspal	uspiac		uspavší	uspaný/uspatý	uspanie/uspatie
ustane	ustanú	ustaň	ustal	ustanúc		ustavší	ustaný/ustatý	ustanie/ustatie
ustojí	ustoja	ustoj	ustál	ustojac		ustávší	ustáty	ustátie
ústi	ústia	úsť/ústi	ústil	ústiac	ústiaci			ústenie
utká	utkajú	utkaj	utkal	utkajúc		utkavší	utkaný	utkanie
utlčie	utlčú	utlč	utĺkol	utlčúc			utlčený	utlčenie
uzná	uznajú	uznaj	uznal	uznajúc		uznavší	uznaný	uznanie
vábi	vábia	váb	vábil	vábiac	vábiaci		vábený	vábenie
vadí	vadia	vaď	vadil	vadiac	vadiaci			vadenie
váha	váhajú	váhaj	váhal	váhajúc	váhajúci			váhanie
váľa	váľajú	váľaj	váľal	váľajúc	váľajúci		váľaný	váľanie
valí	valia	vaľ	valil	valiac	valiaci		valený	valenie
vanie	vanú	vaň	vanul	vanúc	vanúci			vanutie
varí	varia	var	varil	variac	variaci		varený	varenie
váži	vážia	váž	vážil	vážiac	vážiaci		vážený	váženie
vderie	vderú	vder	vdral	vderúc		vdravší	vdraný/vdratý	vdranie/vdratie
velí	velia	veľ	velil	veliac	veliaci		velený	velenie
verí	veria	ver	veril	veriac	veriaci			verenie
vešia	vešajú	vešaj	vešal	vešajúc	vešajúci		vešaný	vešanie
veží	vežia	vež	vežil	vežiac	vežiaci			veženie
vída	vídajú	vídaj	vídal	vídajúc	vídajúci			vídanie
vedie	vedú	veď	viedol	vedúc	vedúci		vedený	vedenie
vezie	vezú	vez	viezol	vezúc	vezúci		vezený	vezenie
viní	vinia	viň	vinil	viniac	viniaci		vinený	vinenie
vinie	vinú	viň	vinul	vinúc	vinúci		vinutý	vinutie
víri	víria	vír	víril	víriac	víriaci		vírený	vírenie
víta	vítajú	vítaj	vítal	vítajúc	vítajúci		vítaný	vítanie
vleje	vlejú	vlej	vlial	vlejúc		vliavší	vliaty	vliatie
vlní	vlnia	vlň	vlnil	vlniac	vlniaci		vlnený	vlnenie
vodí	vodia	voď	vodil	vodiac	vodiaci		vodený	vodenie
vojde	vojdú	vojdi	vošiel	vojdúc			vojdený	vojdenie
volá	volajú	volaj	volal	volajúc	volajúci		volaný	volanie
volí	volia	voľ	volil	voliac	voliaci		volený	volenie
vonia	voňajú	voňaj	voňal	voňajúc	voňajúci		voňaný	voňanie
vozí	vozia	voz	vozil	voziac	voziaci		vozený	vozenie
vrastie	vrastú	vrasť/vrasti	vrástol	vrastúc			vrastený	vrastenie
vrčí	vrčia	vrč	vrčal	vrčiac	vrčiaci			vrčanie
vrhá	vrhajú	vrhaj	vrhal	vrhajúc	vrhajúci		vrhaný	vrhanie
vrie	vrú	vri	vrel	vrúc	vrúci			vrenie
vŕka	vŕkajú	vŕkaj	vŕkal	vŕkajúc	vŕkajúci			vŕkanie
vŕši	vŕšia	vŕš	vŕšil	vŕšiac	vŕšiaci		vŕšený	vŕšenie
vŕta	vŕtajú	vŕtaj	vŕtal	vŕtajúc	vŕtajúci		vŕtaný	vŕtanie
vŕza	vŕzajú	vŕzaj	vŕzal	vŕzajúc	vŕzajúci			vŕzanie
vstane	vstanú	vstaň	vstal	vstanúc		vstavší		vstanie
vtlčie	vtlčú	vtlč	vtĺkol	vtlčúc			vtlčený	vtlčenie
vybije	vybijú	vybi	vybil	vybijúc		vybivší	vybitý	vybitie
vydá	vydajú	vydaj	vydal	vydajúc		vydavší	vydaný/vydatý	vydanie/vydatie
vyduje	vydujú	vyduj	vydul	vydujúc		vyduvší	vydutý	vydutie
vyjde	vyjdú	vyjdi	vyšiel	vyjdúc			vyjdený	vyjdenie
vyká	vykajú	vykaj	vykal	vykajúc	vykajúci			vykanie
vykuje	vykujú	vykuj	vykul	vykujúc		vykuvší	vykutý	vykutie
vymyje	vymyjú	vymy	vymyl	vymyjúc		vymyvší	vymytý	vymytie
vyjme	vyjmú	vyjmi	vyňal	vyjmúc		vyňavší	vyňatý	vyňatie
vypne	vypnú	vypni	vypäl	vypnúc		vypävší	vypätý	vypätie
vypije	vypijú	vypi	vypil	vypijúc		vypivší	vypitý	vypitie
vyryje	vyryjú	vyry	vyryl	vyryjúc		vyryvší	vyrytý	vyrytie
vysaje	vysajú	vysaj	vysal	vysajúc		vysavší	vysatý	vysatie
vyšije	vyšijú	vyši	vyšil	vyšijúc		vyšivší	vyšitý	vyšitie
vytne	vytnú	vytni	vyťal	vytnúc		vyťavší	vyťatý	vyťatie
vytne	vytnú	vytni	vyťal	vytnúc		vyťavší	vyťatý	vyťatie
vyzuje	vyzujú	vyzuj	vyzul	vyzujúc		vyzuvší	vyzutý	vyzutie
vyžne	vyžnú	vyžni	vyžal	vyžnúc		vyžavší	vyžatý	vyžatie
vyžije	vyžijú	vyži	vyžil	vyžijúc		vyživší	vyžitý	vyžitie
vzdá	vzdajú	vzdaj	vzdal	vzdajúc		vzdavší	vzdaný	vzdanie
vzduje	vzdujú	vzduj	vzdul	vzdujúc		vzduvší	vzdutý	vzdutie
vezme	vezmú	vezmi	vzal	vezmúc		vzavší	vzatý	vzatie
vzíde	vzídu	vzíď	vzišiel	vzíduc			vzídený	vzídenie
			vzňal				vzňatý	vzňatie
vžerie	vžerú	vžer	vžral	vžerúc		vžravší	vžraný/vžratý	vžranie/vžratie
zabije	zabijú	zabi	zabil	zabijúc		zabivší	zabitý	zabitie
začne	začnú	začni	začal	začnúc		začavší	začatý	začatie
začuje	začujú	začuj	začul	začujúc		začuvší	začutý	začutie
zadá	zadajú	zadaj	zadal	zadajúc		zadavší	zadaný	zadanie
zaduje	zadujú	zaduj	zadul	zadujúc		zaduvší	zadutý	zadutie
zajme	zajmú	zajmi	zajal	zajmúc		zajavší	zajatý	zajatie
zájde	zájdu	zájdi	zašiel	zájduc			zájdený	zájdenie
zapne	zapnú	zapni	zapäl	zapnúc		zapävší	zapätý	zapätie
zapije	zapijú	zapi	zapil	zapijúc		zapivší	zapitý	zapitie
zaryje	zaryjú	zary	zaryl	zaryjúc		zaryvší	zarytý	zarytie
zašije	zašijú	zaši	zašil	zašijúc		zašivší	zašitý	zašitie
zatne	zatnú	zatni	zaťal	zatnúc		zaťavší	zaťatý	zaťatie
zavije	zavijú	zavi	zavil	zavijúc		zavivší	zavitý	zavitie
zavyje	zavyjú	zavy	zavyl	zavyjúc		zavyvší		zavytie
zažne	zažnú	zažni	zažal	zažnúc		zažavší	zažatý	zažatie
zažije	zažijú	zaži	zažil	zažijúc		zaživší	zažitý	zažitie
zderie	zderú	zder	zdral	zderúc		zdravší	zdraný/zdratý	zdranie/zdratie
zhnije	zhnijú	zhni	zhnil	zhnijúc		zhnivší	zhnitý	zhnitie
zhrá	zhrajú	zhraj	zhral	zhrajúc		zhravší	zhraný/zhratý	zhranie/zhratie
zimí	zimia	zim	zimil	zimiac	zimiaci			zimenie
zíva	zívajú	zívaj	zíval	zívajúc	zívajúci			zívanie
zíza	zízajú	zízaj	zízal	zízajúc	zízajúci			zízanie
zje	zjedia	zjedz	zjedol	zjediac			zjedený	zjedenie
zleje	zlejú	zlej	zlial	zlejúc		zliavší	zliaty	zliatie
zmôže	zmôžu	zmôž	zmohol	zmôžuc			zmožený	zmoženie
znie	znejú	znej	znel	znejúc	znejúci			znenie
zobe	zobú	zob/zobaj	zobal	zobúc/zobajúc	zobúci/zobajúci		zobaný	zobanie
zobuje	zobujú	zobuj	zobul	zobujúc		zobuvší	zobutý	zobutie
zočí	zočia	zoč	zočil	zočiac		zočivší	zočený	zočenie
zopne	zopnú	zopni	zopäl	zopnúc		zopävší	zopätý	zopätie
zorie	zorú	zor	zoral	zorúc		zoravší	zoraný	zoranie
zošije	zošijú	zoši	zošil	zošijúc		zošivší	zošitý	zošitie
zotne	zotnú	zotni	zoťal	zotnúc		zoťavší	zoťatý	zoťatie
zožne	zožnú	zožni	zožal	zožnúc		zožavší	zožatý	zožatie
zožuje	zožujú	zožuj	zožul	zožujúc		zožuvší	zožutý	zožutie
zrastie	zrastú	zrasť/zrasti	zrástol	zrastúc			zrastený	zrastenie
zreje	zrejú	zrej	zrel	zrejúc	zrejúci			zrenie
zrie	zrú	zri	zrel	zrúc	zrúci		zrený	zrenie
zubí	zubia	zub	zubil	zubiac	zubiaci			zubenie 
zúfa	zúfajú	zúfaj	zúfal	zúfajúc	zúfajúci	zúfavší		zúfanie 
zúri	zúria	zúr	zúril	zúriac	zúriaci			zúrenie 
zúži	zúžia	zúž	zúžil	zúžiac		zúživší	zúžený	zúženie 
želá	želajú	želaj	želal	želajúc	želajúci		želaný	želanie 
žení	ženia	žeň	ženil	ženiac	ženiaci		ženený	ženenie 
žičí	žičia	žič	žičil	žičiac	žičiaci		žičený	žičenie 
žíha	žíhajú	žíhaj	žíhal	žíhajúc	žíhajúci		žíhaný	žíhanie 
žíri	žíria	žír	žíril	žíriac	žíriaci			žírenie 
živí	živia	živ	živil	živiac	živiaci		živený	živenie 
žuje	žujú	žuj	žul	žujúc	žujúci		žuvaný	žuvanie 
aháka	ahákajú	ahákaj	ahákal	ahákajúc	ahákajúci			ahákanie
achká	achkajú	achkaj	achkal	achkajúc	achkajúci			achkanie
