bojí	boja	boj	bál	bojac	bojaci			bátie
všije	všijú	vši	všil	všijúc		všivší	všitý	všitie
vžije	vžijú	vži	vžil	vžijúc		vživší	vžitý	vžitie
zbije	zbijú	zbi	zbil	zbijúc		zbivší	zbitý	zbitie
zdá	zdajú	zdaj	zdal	zdajúc	zdajúci			zdanie
zduje	zdujú	zduj	zdul	zdujúc		zduvší	zdutý	zdutie
zíde	zídu	zíď	zišiel	zíduc			zídený	zídenie
zmyje	zmyjú	zmy	zmyl	zmyjúc		zmyvší	zmytý	zmytie
zná	znajú	znaj	znal	znajúc	znajúci		znaný	znanie
zryje	zryjú	zry	zryl	zryjúc		zryvší	zrytý	zrytie
zve	zvú	zvi	zval	zvúc	zvúci		zvaný	zvanie
zžije	zžijú	zži	zžil	zžijúc		zživší	zžitý	zžitie
žerie	žerú	žer	žral	žerúc	žerúci		žraný/žratý	žranie/žratie
auká	aukajú	aukaj	aukal	aukajúc	aukajúci			aukanie
bacá/bacia	bacajú	bacaj	bacal	bacajúc	bacajúci		bacaný	bacanie
badá	badajú	badaj	badal	badajúc	badajúci		badaný	badanie
báda	bádajú	bádaj	bádal	bádajúc	bádajúci		bádaný	bádanie
bafá	bafajú	bafaj	bafal	bafajúc	bafajúci		bafaný	bafanie
báji	bája	báj	bájil	bájac	bájaci		bájený	bájenie
balí	balia	baľ	balil	baliac	baliaci		balený	balenie
baví	bavia	bav	bavil	baviac	baviaci		bavený	bavenie
baží	bažia	baž	bažil	bažiac	bažiaci			baženie
bdie	bdejú	bdej	bdel	bdejúc	bdejúci			bdenie
bečí	bečia	beč	bečal	bečiac	bečiaci			bečanie
behá	behajú	behaj	behal	behajúc	behajúci		behaný	behanie
béka	békajú	békaj	békal	békajúc	békajúci			békanie
beží	bežia	bež	bežal	bežiac	bežiaci		bežaný	bežanie
bíja	bíjajú	bíjaj	bíjal	bíjajúc	bíjajúci			bíjanie
blčí	blčia	blč	blčal	blčiac	blčiaci			blčanie
blká	blkajú	blkaj	blkal	blkajúc	blkajúci			blkanie
bočí	bočia	boč	bočil	bočiac	bočiaci			bočenie
bodá	bodajú	bodaj	bodal	bodajúc	bodajúci		bodaný	bodanie
borí	boria	bor	boril	boriac	boriaci		borený	borenie
boží	božia	bož	božil	božiac	božiaci			boženie
bŕka	bŕkajú	bŕkaj	bŕkal	bŕkajúc	bŕkajúci			bŕkanie
bŕľa	bŕľajú	bŕľaj	bŕľal	bŕľajúc	bŕľajúci			bŕľanie
bučí	bučia	buč	bučal	bučiac	bučiaci			bučanie
budí	budia	buď	budil	budiac	budiaci		budený	budenie
búra	búrajú	búraj	búral	búrajúc	búrajúci		búraný	búranie
búri	búria	búraj	búril	búriac	búriaci		búrený	búrenie
búši	búšia	búš	búšil	búšiac	búšiaci	búšivší	búšený	búšenie
búva	búvajú	búvaj	búval	búvajúc	búvajúci			búvanie
býva	bývajú	bývaj	býval	bývajúc	bývajúci			bývanie
cápe	cápu/cápajú	cáp/cápaj	cápal	cápuc/cápajúc	cápuci/cápajúci		cápaný	cápanie
capí	capia	cap	capil	capiac		capivší	capený	capenie
cári	cária	cár	cáril	cáriac	cáriaci			cárenie
cedí	cedia	ceď	cedil	cediac	cediaci		cedený	cedenie
celí	celia	ceľ	celil	celiac	celiaci		celený	celenie
cení	cenia	ceň	cenil	ceniac	ceniaci		cenený	cenenie
cerí	ceria	cer	ceril	ceriac	ceriaci		cerený	cerenie
cicia	cicajú	cicaj	cical	cicajúc	cicajúci		cicaný	cicanie
ciká	cikajú	cikaj	cikal	cikajúc	cikajúci			cikanie
cíti	cítia	cíť	cítil	cítiac	cítiaci		cítený	cítenie
cnie			cnelo					cnenie
crčí	crčia	crč	crčal	crčiac	crčiaci			crčanie
crká	crkajú	crkaj	crkal	crkajúc	crkajúci		crkaný	crkanie
cŕka	cŕkajú	cŕkaj	cŕkal	cŕkajúc	cŕkajúci		cŕkaný	cŕkanie
cucia	cucajú	cucaj	cucal	cucajúc	cucajúci		cucaný	cucanie
cúdi	cúdia	cúď	cúdil	cúdiac	cúdiaci		cúdený	cúdenie
cuká	cukajú	cukaj	cukal	cukajúc	cukajúci			cukanie
cúva	cúvajú	cúvaj	cúval	cúvajúc	cúvajúci			cúvanie
čadí	čadia	čaď	čadil	čadiac	čadiaci			čadenie
čaká	čakajú	čakaj	čakal	čakajúc	čakajúci		čakaný	čakanie
čapí	čapia	čap	čapil	čapiac	čapiaci	čapivší	čapený	čapenie
